Participant_ID,Name,College,State,Day,Track,Feedback,Presentation_Score,Engagement_Level,Photo_Filename
1,Robert Mason,College D,Maharashtra,2,Track 4,Writer huge order treat our part official every weight a each subject.,8.7,Low,day4_photo_1.jpg
2,Cassie Lee,College C,Tamil Nadu,4,Track 2,Than between case draw matter choice door threat.,5.9,High,day4_photo_2.jpg
3,Michael Black,College A,Karnataka,3,Track 4,Accept bar blood cut manager follow month.,5.1,Medium,day4_photo_3.jpg
4,Heidi Kaiser,College B,Maharashtra,4,Track 1,Those executive your degree outside firm ten young culture clearly week manager.,5.3,Low,day1_photo_4.jpg
5,Julian Maxwell,College D,Karnataka,1,Track 3,Fast high character item democratic money new best.,7.3,Low,day2_photo_5.jpg
6,Matthew Clements,College A,Tamil Nadu,3,Track 1,Others morning knowledge somebody article just phone talk woman energy do here left.,5.9,Medium,day3_photo_6.jpg
7,Jeffrey Walker,College D,Tamil Nadu,4,Track 2,Serious many population ok herself never at social explain cost.,5.1,Medium,day4_photo_7.jpg
8,Shawn Cole,College C,Karnataka,1,Track 4,Already collection significant while short glass outside.,9.8,High,day4_photo_8.jpg
9,Tyrone Martinez,College A,Tamil Nadu,4,Track 1,Walk because term drug third decision detail hospital for memory.,5.4,Medium,day1_photo_9.jpg
10,Michele Massey,College D,Kerala,1,Track 2,Size real effort within smile task blue around reach full now.,9.0,Low,day3_photo_10.jpg
11,Robert Wood,College A,Maharashtra,4,Track 4,Beyond phone before wear stage goal break debate kid material bit if three.,6.2,Low,day1_photo_11.jpg
12,Anthony Aguilar,College D,Karnataka,1,Track 4,Other drop policy Republican relationship off side medical song culture information.,7.1,High,day2_photo_12.jpg
13,Eric Meza,College C,Maharashtra,2,Track 4,Night interesting produce who practice whole believe believe position commercial challenge program.,6.2,High,day3_photo_13.jpg
14,James Keller,College D,Karnataka,4,Track 4,On this painting successful care nor upon attack young information.,7.8,High,day1_photo_14.jpg
15,Amy Cruz,College D,Tamil Nadu,3,Track 1,Present step spring positive answer social wear certainly.,5.8,High,day1_photo_15.jpg
16,Kari Conner,College B,Kerala,1,Track 3,Page general official west identify entire believe past place start.,8.7,Low,day1_photo_16.jpg
17,Melissa Rich,College B,Tamil Nadu,4,Track 4,Detail wait thing heavy along our late sometimes soldier by general.,7.4,High,day1_photo_17.jpg
18,Glenn Bryant,College D,Kerala,1,Track 4,Increase agree film development assume why painting.,6.3,Low,day1_photo_18.jpg
19,Michael Rivers,College B,Kerala,1,Track 1,Save despite real itself fight between speak skill focus.,8.2,Low,day2_photo_19.jpg
